message_id,tag_id
966,4
757,4
17,4
114,3
295,3
650,4
779,3
275,1
483,2
864,3
20,4
367,1
444,4
694,3
446,2
697,2
476,4
26,2
984,1
413,2
449,3
69,4
303,1
929,3
768,4
726,2
278,4
979,1
610,1
435,4
794,3
804,3
717,4
232,2
246,2
686,4
494,3
346,4
862,4
169,4
342,1
884,2
377,2
698,3
911,1
986,4
436,1
216,4
936,1
509,3
432,1
895,3
418,4
599,2
137,4
458,1
748,2
579,2
17,2
43,3
175,1
619,2
752,3
266,2
665,1
573,4
269,1
231,4
714,1
321,1
603,2
215,1
802,1
812,1
80,3
202,1
939,2
874,2
817,4
267,4
433,4
821,1
784,2
924,3
939,4
235,1
168,1
932,3
662,4
962,2
837,2
2,4
939,2
744,2
767,1
158,1
329,1
680,1
979,2
731,3
479,4
953,1
375,4
14,3
584,3
850,3
652,3
830,1
291,2
274,3
83,1
52,1
82,3
730,4
15,2
79,3
574,1
826,2
595,3
837,2
949,4
224,2
535,3
562,3
482,3
31,4
532,1
961,1
599,4
3,1
641,3
553,2
512,4
509,3
378,2
395,4
758,3
753,3
308,3
469,4
949,4
967,4
508,4
963,2
859,4
250,3
750,1
54,3
116,1
56,3
677,4
200,2
582,3
334,4
845,1
356,2
543,1
922,3
82,4
836,1
199,1
463,1
825,3
680,1
225,4
942,4
55,4
127,2
955,2
156,2
942,2
676,4
378,2
450,2
421,2
80,4
738,2
400,2
893,4
547,2
314,1
565,1
809,1
101,4
414,1
298,2
158,1
414,3
874,1
963,1
6,3
778,4
543,4
152,3
427,1
800,1
454,3
162,4
909,3
503,2
198,2
866,3
746,3
122,2
257,4
594,4
993,2
853,3
380,4
240,3
5,4
131,1
263,3
185,3
577,4
731,4
183,4
895,2
54,3
982,2
553,1
968,4
279,1
692,2
745,2
773,3
978,3
53,3
278,4
776,4
285,4
378,2
596,3
759,1
841,1
590,4
879,3
984,3
190,4
54,1
847,3
168,2
114,4
517,2
806,1
631,2
658,4
793,4
337,4
834,2
640,1
684,4
349,1
557,4
1000,4
366,1
451,4
497,4
78,2
345,1
730,3
709,4
438,4
83,3
30,3
33,4
207,2
110,2
440,3
596,3
688,3
143,1
931,4
303,3
343,2
672,4
657,1
634,4
778,3
27,2
755,4
957,1
786,4
314,1
839,3
804,2
882,1
802,1
128,2
475,3
62,1
602,4
668,3
593,4
623,2
757,4
82,4
999,1
586,4
93,2
168,1
565,2
46,3
792,4
255,3
45,4
386,4
107,1
392,4
163,4
52,4
795,1
544,1
301,4
79,3
599,1
965,4
780,3
31,3
699,1
748,1
668,4
527,1
941,4
608,3
637,2
780,4
947,3
198,2
444,3
193,3
600,3
229,2
770,4
469,4
64,1
159,3
993,2
634,1
641,3
113,4
994,1
210,1
50,4
640,2
354,1
326,2
332,3
432,2
520,2
986,1
863,2
247,2
334,4
142,4
14,4
801,4
210,3
115,4
773,1
122,1
189,2
577,1
192,3
246,1
97,1
127,1
95,1
463,3
40,2
407,3
350,4
909,1
8,3
966,3
33,2
34,3
12,2
142,2
529,2
800,1
37,4
704,1
485,4
121,3
467,1
822,1
494,4
93,4
892,1
14,3
13,2
959,4
950,1
126,3
781,4
441,2
175,1
547,1
97,3
162,3
430,3
209,4
629,4
468,2
748,4
440,4
793,4
151,4
653,2
307,1
329,2
203,1
562,2
612,2
37,2
943,3
566,1
504,4
770,4
750,1
628,1
301,2
60,2
156,2
497,3
546,1
579,3
31,2
894,3
251,2
676,1
173,4
220,4
340,4
16,2
860,2
896,4
861,1
202,3
924,1
727,1
393,3
808,3
66,4
627,1
18,1
863,2
518,3
842,3
48,3
444,4
446,2
581,2
344,4
511,3
507,2
736,3
256,2
